ID,Job Title,Location,Sector,Job Type,Closing Date,Job URL,Employer,scrapeDate,Sponsored,Category
d0482ff160e3a1821a2d28f4565ea31f,Food Service Officer - BlueCross Westgarth Care Community,"121/127 Westgarth St, Northcote VIC 3070, Australia ● Req #1159",Aged Care,Not specified,Not specified,https://globalaus242.dayforcehcm.com/CandidatePortal/en-AU/opalhealthcare/Posting/View/13274,Opal Healthcare,2025-03-19,true,Sponsored
8b2af28c1e3331357fa97776b64f3704,Housekeeping Services Officer - Calamvale Parklands Care Community,"Calamvale Parklands Care Community, 8 Raffin Crescent, Calamvale, AU-QLD, AUS ● Req #891",Aged Care,Not specified,Not specified,https://globalaus242.dayforcehcm.com/CandidatePortal/en-AU/opalhealthcare/Posting/View/7676,Opal Healthcare,2025-03-19,true,Sponsored
195a20777aef3ec630b202c3adac09e4,Customer Support Manager - Ashfield Terrace Care Community,"Ashfield Terrace Care Community, 8-10 Clissold Street, Ashfield, AU-NSW, AUS ● Req #1413",Aged Care,Not specified,Not specified,https://globalaus242.dayforcehcm.com/CandidatePortal/en-AU/opalhealthcare/Posting/View/13868,Opal Healthcare,2025-03-19,true,Sponsored
3067a6d8ebc85a708b7dccb0263ab297,Registered Nurse - Wahroonga Place Care Community,"Wahroonha Place Care Community, 17 Pacific Highway, Wahroonga, AU-NSW, AUS ● Req #1010",Aged Care,Not specified,Not specified,https://globalaus242.dayforcehcm.com/CandidatePortal/en-AU/opalhealthcare/Posting/View/13390,Opal Healthcare,2025-03-19,true,Sponsored
3e9aa43993bbd594bde6697b3e105bef,Volunteer - Easton Park (AWC),Not specified,Aged Care,Not specified,Not specified,https://careers.whiddon.com.au/en/job/494214/volunteer-easton-park-awc,Whiddon,2025-03-19,true,Sponsored
3e9aa43993bbd594bde6697b3e105bef,Volunteer - Easton Park (AWC),Not specified,Aged Care,Not specified,Not specified,https://careers.whiddon.com.au/en/job/494214/volunteer-easton-park-awc,Whiddon,2025-03-19,true,Sponsored
de26b7213747d87b6dcdb8e8c675c5a3,Assistant in Nursing - Wingham,Not specified,Aged Care,Not specified,Not specified,https://careers.whiddon.com.au/en/job/494204/assistant-in-nursing-wingham,Whiddon,2025-03-19,true,Sponsored
59e6f4af9d91de638ee4035918d9e457,General Services Officer - Murdoch Gardens Care Community,"Murdoch Gardens Care Community, Discovery Way, Murdoch, AU-WA, AUS ● WA, Discovery Way, Murdoch, AU-WA, AUS ● Req #875",Aged Care,Not specified,Not specified,https://globalaus242.dayforcehcm.com/CandidatePortal/en-AU/opalhealthcare/Posting/View/4695,Opal Healthcare,2025-03-19,true,Sponsored
59332996532686ad7cb8112833b217f0,Admin Officer/Coordinator,Not specified,Aged Care,Max Term Part-Time,,https://careers.baptistcare.org.auhttps://careers.baptistcare.org.au/jobs/3a460508-fa17-4901-9850-57ddf3ffdba8,Baptist Care,2025-03-19,true,Sponsored
9a3e5ad496507d8d5780bbde89c67120,Assistant in Nursing - Bella Vista Gardens Care Community,"Bella Vista NSW 2153, Australia ● Req #1570",Aged Care,Not specified,Not specified,https://globalaus242.dayforcehcm.com/CandidatePortal/en-AU/opalhealthcare/Posting/View/15981,Opal Healthcare,2025-03-19,true,Sponsored
5eb4f0e380f9b0e114bc21e2cb818f18,Community Cleaner - Redhead,Not specified,Aged Care,Not specified,Not specified,https://careers.whiddon.com.au/en/job/494241/community-cleaner-redhead,Whiddon,2025-03-19,true,Sponsored
e0b5015c27d6a829d7359ee91722ef6b,Personal Care Assistant - Croydon Grove Care Community,"Croydon Grove Care Community, 40 Chevalier Drive, Croydon, AU-VIC, AUS ● Req #210",Aged Care,Not specified,Not specified,https://globalaus242.dayforcehcm.com/CandidatePortal/en-AU/opalhealthcare/Posting/View/8432,Opal Healthcare,2025-03-19,true,Sponsored
a484796ad7cc4aa838715aa4a497e8a4,General Services Officer - Templestowe Grove Care Community,"Templestowe Grove Care Community, 1 Chivers Road, Templestowe, AU-VIC, AUS ● Req #235",Aged Care,Not specified,Not specified,https://globalaus242.dayforcehcm.com/CandidatePortal/en-AU/opalhealthcare/Posting/View/14769,Opal Healthcare,2025-03-19,true,Sponsored
bf2838bb52cfb02d8c9a3533ef08691e,Therapy & Leisure Partner - Busselton,Not specified,Aged Care,Casual,,https://careers.baptistcare.org.auhttps://careers.baptistcare.org.au/jobs/8535aaf2-5f2c-4622-b640-8cc9aaa2f271,Baptist Care,2025-03-19,true,Sponsored
41db86ef96119d7230a2ea4910786446,Care Service Employee - Lifestyle,Not specified,Aged Care,Permanent Part-Time,,https://careers.baptistcare.org.auhttps://careers.baptistcare.org.au/jobs/c706d0ac-1c9d-4a99-a4fb-37290cacff1b,Baptist Care,2025-03-19,true,Sponsored
